جنسیت,سهمیه,شهر,رتبه کشوری,رتبه در سهمیه,نوع بذیرش,دانشگاه,رشته
مرد,1,تهران,1263,439, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شهید بهشتی  ,پزشکی 
مرد,1,تهران,1272,443,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,تهران,1274,444,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,شیراز,1290,447, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شیراز  ,دندانپزشکی 
زن,1,مشهد,1297,451,  روزانه, دانشگاه علوم پزشکی اصفهان  ,دندانپزشکی 
زن,1,تبریز,1301,453,  روزانه, دانشگاه علوم پزشکی تبریز ,داروسازی 
مرد,1,رودهن,1335,458,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,تهران,1337,460, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شهید بهشتی  ,پزشکی 
زن,1,اصفهان,1350,463,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,تهران,1354,466,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,اصفهان,1354,466,  روزانه, دانشگاه علوم پزشکی شهرکرد  ,دندانپزشکی 
زن,1,شیراز,1362,469,  روزانه, دانشگاه علوم پزشکی شیراز  ,پزشکی 
مرد,1,اصفهان,1365,470,  روزانه, دانشگاه علوم پزشکی کاشان  ,پزشکی 
زن,1,مشهد,1367,472,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,تهران,1373,474,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,تبریز,1378,475,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
زن,1,تهران,1385,479,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
مرد,1,اصفهان,1385,479,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,تهران,1394,481,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد تهران پزشکی ,دندانپزشکی 
مرد,1,تهران,1397,483, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شهید بهشتی  ,پزشکی 
زن,1,تهران,1409,486,  روزانه, دانشگاه علوم پزشکی کرج  ,دندانپزشکی 
مرد,1,تهران,1413,488,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,مشهد,1423,492, روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,تبریز,1427,495,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
مرد,1,اصفهان,1430,496,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,قره‌ضیاءالدین,1442,500,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
مرد,1,تبریز,1442,500,  روزانه, دانشگاه علوم پزشکی تبریز ,داروسازی 
زن,1,مشهد,1442,500,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,تهران,1448,504, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی زنجان  ,دندانپزشکی 
زن,1,تهران,1466,508,  روزانه, دانشگاه علوم پزشکی کرج  ,دندانپزشکی 
زن,1,اصفهان,1485,514, روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,مشهد,1508,522, بجنورد  -  روزانه, دانشگاه علوم پزشکی خراسان شمالی ,دندانپزشکی 
زن,1,تهران,1512,523,تهران  -  روزانه, دانشگاه شاهد,دندانپزشکی 
مرد,1,تهران,1512,523,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
زن,1,اصفهان,1520,528,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,شیراز,1525,530,  روزانه, دانشگاه علوم پزشکی یاسوج  ,دندانپزشکی 
مرد,1,شیراز,1542,535, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شیراز  ,دندانپزشکی 
مرد,1,خنج,1547,537,  روزانه, دانشگاه علوم پزشکی کرج  ,دندانپزشکی 
مرد,1,تبریز,1561,542, رشت  -  روزانه, دانشگاه علوم پزشکی گیلان ,پزشکی 
مرد,1,تهران,1564,544,  روزانه, دانشگاه علوم پزشکی قزوین  ,پزشکی 
مرد,1,شیراز,1564,544, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شیراز  ,پزشکی 
مرد,1,تبریز,1580,551,  روزانه, دانشگاه علوم پزشکی تبریز ,دندانپزشکی 
مرد,1,تهران,1587,553,  روزانه, دانشگاه علوم پزشکی شیراز  ,پزشکی 
مرد,1,شیراز,1587,553, روزانه, دانشگاه علوم پزشکی شیراز  ,پزشکی 
زن,1,شیراز,1608,559,  روزانه, دانشگاه علوم پزشکی شیراز  ,پزشکی 
مرد,1,اصفهان,1632,563,  روزانه, دانشگاه علوم پزشکی کرج  ,دندانپزشکی 
زن,1,مشهد,1632,563,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,تهران,1632,563,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,تهران,1640,566,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,تهران,1655,571,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
زن,1,اصفهان,1659,573,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,تبریز,1659,573,  روزانه, دانشگاه علوم پزشکی تبریز ,دندانپزشکی 
مرد,1,مشهد,1674,579, روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,مشهد,1674,579,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,شیراز,1682,582,  روزانه, دانشگاه علوم پزشکی شیراز  ,پزشکی 
زن,1,مشهد,1687,583, روزانه, دانشگاه علوم پزشکی مشهد  ,داروسازی 
مرد,1,تهران,1690,585,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد تهران پزشکی ,پزشکی 
زن,1,تهران,1693,588,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,تبریز,1693,588,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
مرد,1,تهران,1693,588,  روزانه, دانشگاه علوم پزشکی قزوین  ,دندانپزشکی 
مرد,1,تبریز,1704,592,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
مرد,1,تهران,1710,594,  روزانه, دانشگاه علوم پزشکی کرج  ,دندانپزشکی 
مرد,1,تبریز,1713,595,  روزانه, دانشگاه علوم پزشکی تبریز ,دندانپزشکی 
مرد,1,زنجان,1729,597, روزانه, دانشگاه علوم پزشکی زنجان  ,پزشکی 
مرد,1,تهران,1747,602,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد تهران پزشکی ,دندانپزشکی 
مرد,1,مشهد,1757,604,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,مشهد,1757,604, روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,شیراز,1769,606, روزانه, دانشگاه علوم پزشکی شیراز  ,پزشکی 
مرد,1,شیراز,1769,606,  روزانه, دانشگاه علوم پزشکی شیراز  ,پزشکی 
زن,1,تهران,1778,609, مناطق محروم, دانشگاه علوم پزشکی تهران  ,دندانپزشکی 
زن,1,مشهد,1795,610,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,اصفهان,1795,610,  روزانه, دانشگاه علوم پزشکی شهرکرد  ,دندانپزشکی 
مرد,1,تبریز,1808,615,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
زن,1,تهران,1815,618,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,شهریار,1820,621,  روزانه, دانشگاه علوم پزشکی تهران  ,داروسازی 
مرد,1,تهران,1822,623,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,اصفهان,1825,624, روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,مشهد,1829,625,  روزانه, دانشگاه علوم پزشکی مشهد  ,داروسازی 
مرد,1,تهران,1835,627, روزانه, دانشگاه تهران  ,دکتری عمومی دامپزشکی 
زن,1,تبریز,1838,628,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد تبریز ,دندانپزشکی 
مرد,1,مشهد,1860,635,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,ساری,1864,636, ساری  - روزانه, دانشگاه علوم پزشکی مازندران ,دندانپزشکی 
زن,1,شیراز,1874,639,  روزانه, دانشگاه علوم پزشکی یزد ,دندانپزشکی 
مرد,1,اصفهان,1880,641,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,تبریز,1880,641,  روزانه, دانشگاه علوم پزشکی همدان  ,دندانپزشکی 
مرد,1,مشهد,1886,643, روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,تهران,1899,648,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
زن,1,تبریز,1915,652,  روزانه, دانشگاه علوم پزشکی تبریز ,دندانپزشکی 
مرد,1,تهران,1921,654,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
زن,1,تبریز,1925,655,  روزانه, دانشگاه علوم پزشکی ارومیه  ,دندانپزشکی 
مرد,1,رشت,1928,656, رشت  - روزانه, دانشگاه علوم پزشکی گیلان ,دندانپزشکی 
مرد,1,مشهد,1928,656, رشت  -  روزانه, دانشگاه علوم پزشکی گیلان ,دندانپزشکی 
زن,1,تهران,1945,660, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی تهران ,داروسازی 
زن,1,اصفهان,1949,662,  روزانه, دانشگاه علوم پزشکی شهرکرد  ,دندانپزشکی 
زن,1,اصفهان,1949,662, روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,اصفهان,1953,665,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,تهران,1960,667,  روزانه, دانشگاه علوم پزشکی کرج  ,دندانپزشکی 
زن,1,شیراز,1967,670,  روزانه, دانشگاه علوم پزشکی شیراز  ,داروسازی 
مرد,1,مشهد,1967,670,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,تهران,1972,672,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد تهران پزشکی ,دندانپزشکی 
مرد,1,اصفهان,1990,676,  روزانه, دانشگاه علوم پزشکی یزد ,دندانپزشکی 
مرد,1,تهران,1994,677,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,اصفهان,1994,677,  روزانه, دانشگاه علوم پزشکی شهرکرد  ,دندانپزشکی 
مرد,1,کرج,2006,681, روزانه, دانشگاه علوم پزشکی کرج  ,دندانپزشکی 
زن,1,شیراز,2011,682, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شیراز  ,پزشکی 
مرد,1,اصفهان,2014,684, روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,تهران,2019,687,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,ساری,2036,691, ساری  - روزانه, دانشگاه علوم پزشکی مازندران ,دندانپزشکی 
مرد,1,تبریز,2056,695,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
مرد,1,اصفهان,2061,697,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,کرج,2068,698, روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,تهران,2068,698,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
زن,1,مشهد,2071,699,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,تهران,2076,701,  روزانه, دانشگاه علوم پزشکی شهید بهشتی  ,داروسازی 
مرد,1,تبریز,2097,705,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
مرد,1,شیراز,2102,707, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شیراز  ,پزشکی 
زن,1,اصفهان,2105,709,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,تهران,2109,711,  روزانه, دانشگاه علوم پزشکی شهید بهشتی  ,داروسازی 
مرد,1,تهران,2113,712,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,تهران,2118,714,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد تهران پزشکی ,دندانپزشکی 
زن,1,تهران,2124,717,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد تهران پزشکی ,دندانپزشکی 
مرد,1,تبریز,2124,717,  روزانه, دانشگاه علوم پزشکی ایران  ,داروسازی 
زن,1,تبریز,2130,719,  روزانه, دانشگاه علوم پزشکی ارومیه  ,پزشکی 
مرد,1,تبریز,2135,721,تهران  - پردیس خودگردان یا ظرفیت مازاد, دانشگاه شاهد,دندانپزشکی 
مرد,1,تهران,2147,726,  روزانه, دانشگاه علوم پزشکی کاشان  ,پزشکی 
مرد,1,کاشان,2147,726, روزانه, دانشگاه علوم پزشکی کاشان  ,پزشکی 
مرد,1,تبریز,2168,729, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی تبریز ,دندانپزشکی 
زن,1,شیراز,2168,729,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,تهران,2172,732,  روزانه, دانشگاه علوم پزشکی سمنان  ,دندانپزشکی 
مرد,1,تبریز,2177,734,  روزانه, دانشگاه علوم پزشکی ارومیه  ,دندانپزشکی 
زن,1,اصفهان,2182,737,  روزانه, دانشگاه علوم پزشکی شهرکرد  ,دندانپزشکی 
مرد,1,اصفهان,2182,737,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد خوراسگان ,دندانپزشکی 
مرد,1,تهران,2182,737,  روزانه, دانشگاه علوم پزشکی ایران  ,داروسازی 
زن,1,شاهین شهر,2194,742,  روزانه, دانشگاه علوم پزشکی یزد ,دندانپزشکی 
مرد,1,بستان آباد,2194,742,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
زن,1,یزد,2194,742, روزانه, دانشگاه علوم پزشکی یزد ,دندانپزشکی 
زن,1,تهران,2198,744, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی کرج  ,دندانپزشکی 
مرد,1,تبریز,2205,745, روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
مرد,1,تبریز,2205,745,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
مرد,1,مشهد,2205,745,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,تهران,2209,747,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,کرج,2209,747, روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,تبریز,2218,750,  روزانه, دانشگاه علوم پزشکی تبریز ,داروسازی 
مرد,1,مشهد,2224,752,  روزانه, دانشگاه علوم پزشکی کرمان  ,پزشکی 
مرد,1,مشهد,2241,753,گرگان  -  روزانه, دانشگاه علوم پزشکی گلستان ,دندانپزشکی 
مرد,1,شیراز,2251,756, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شیراز  ,پزشکی 
مرد,1,تهران,2265,759, تهران  -  روزانه, دانشگاه صنعتی شریف ,شیمی محض 
مرد,1,اصفهان,2291,765,  روزانه, دانشگاه علوم پزشکی کاشان  ,پزشکی 
مرد,1,تهران,2299,767,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
زن,1,تبریز,2299,767, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی تبریز ,دندانپزشکی 
زن,1,تبریز,2306,770, مناطق محروم, دانشگاه علوم پزشکی تبریز ,دندانپزشکی 
زن,1,تبریز,2311,774,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
زن,1,تهران,2311,774,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد تهران پزشکی ,پزشکی 
مرد,1,تهران,2351,787,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,تبریز,2359,790,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
زن,1,اصفهان,2359,790,  روزانه, دانشگاه علوم پزشکی اصفهان  ,داروسازی 
مرد,1,تهران,2359,790,  روزانه, دانشگاه علوم پزشکی شهید بهشتی  ,داروسازی 
مرد,1,مشهد,2379,795,  روزانه, دانشگاه علوم پزشکی شهید بهشتی  ,داروسازی 
مرد,1,اصفهان,2416,806,  روزانه, دانشگاه علوم پزشکی یزد ,دندانپزشکی 
مرد,1,تبریز,2421,808,  روزانه, دانشگاه علوم پزشکی ارومیه  ,دندانپزشکی 
زن,1,تهران,2425,810, رشت  -  روزانه, دانشگاه علوم پزشکی گیلان ,دندانپزشکی 
مرد,1,مشهد,2450,814, بجنورد  -  روزانه, دانشگاه علوم پزشکی خراسان شمالی ,دندانپزشکی 
مرد,1,اصفهان,2457,815,  روزانه, دانشگاه علوم پزشکی کاشان  ,پزشکی 
مرد,1,شیراز,2457,815,  روزانه, دانشگاه علوم پزشکی شیراز  ,داروسازی 
مرد,1,شیراز,2457,815, روزانه, دانشگاه علوم پزشکی شیراز  ,داروسازی 
زن,1,تهرانسر,2486,819,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,اصفهان,2491,820,  روزانه, دانشگاه علوم پزشکی کاشان  ,پزشکی 
مرد,1,تبریز,2511,824, رشت  -  روزانه, دانشگاه علوم پزشکی گیلان ,دندانپزشکی 
زن,1,مشهد,2528,829,  روزانه, دانشگاه علوم پزشکی مشهد  ,داروسازی 
مرد,1,تهران,2528,829,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,کرمان,2536,832,  روزانه, دانشگاه علوم پزشکی کرمان  ,دندانپزشکی 
مرد,1,تهران,2543,835,  روزانه, دانشگاه علوم پزشکی قزوین  ,دندانپزشکی 
مرد,1,اصفهان,2543,835,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد خوراسگان ,دندانپزشکی 
مرد,1,تبریز,2543,835,  روزانه, دانشگاه علوم پزشکی ارومیه  ,پزشکی 
زن,1,تبریز,2571,840,  روزانه, دانشگاه علوم پزشکی تبریز ,داروسازی 
زن,1,اصفهان,2576,842, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,شیراز,2576,842,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,اصفهان,2581,844,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد خوراسگان ,دندانپزشکی 
مرد,1,مشهد,2590,847, رشت  -  روزانه, دانشگاه علوم پزشکی گیلان ,دندانپزشکی 
مرد,1,تبریز,2595,848,  روزانه, دانشگاه علوم پزشکی ارومیه  ,دندانپزشکی 
مرد,1,ارومیه,2595,848, روزانه, دانشگاه علوم پزشکی ارومیه  ,دندانپزشکی 
مرد,1,مشهد,2606,851, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,تهران,2619,853,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,تبریز,2625,855,  روزانه, دانشگاه علوم پزشکی ارومیه  ,پزشکی 
زن,1,تهران,2625,855,  روزانه, دانشگاه علوم پزشکی کاشان  ,پزشکی 
زن,1,تهران,2629,857, تهران  -  روزانه, دانشگاه علوم پزشکی بقیه الله ,پزشکی 
زن,1,تبریز,2633,858, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی تبریز ,پزشکی 
زن,1,تبریز,2633,858, مناطق محروم, دانشگاه علوم پزشکی تبریز ,پزشکی 
مرد,1,تبریز,2638,860,  روزانه, دانشگاه علوم پزشکی ارومیه  ,پزشکی 
زن,1,تبریز,2645,863,  روزانه, دانشگاه علوم پزشکی ارومیه  ,پزشکی 
زن,1,مشهد,2648,864, رشت  -  روزانه, دانشگاه علوم پزشکی گیلان ,دندانپزشکی 
زن,1,تهران,2652,865,گرگان  - پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی گلستان ,پزشکی 
زن,1,مشهد,2659,867, رشت  -  روزانه, دانشگاه علوم پزشکی گیلان ,دندانپزشکی 
زن,1,اصفهان,2675,871,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد خوراسگان ,دندانپزشکی 
زن,1,تهران,2690,874,  روزانه, دانشگاه علوم پزشکی قزوین  ,دندانپزشکی 
زن,1,تبریز,2703,878, رشت  -  روزانه, دانشگاه علوم پزشکی گیلان ,پزشکی 
زن,1,اراک,2708,881, روزانه, دانشگاه علوم پزشکی اراک ,دندانپزشکی 
مرد,1,تهران,2708,881,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد تهران پزشکی ,پزشکی 
زن,1,تهران,2708,881,  روزانه, دانشگاه علوم پزشکی اراک  ,دندانپزشکی 
مرد,1,تهران,2727,886,  روزانه, دانشگاه علوم پزشکی قزوین  ,پزشکی 
زن,1,تبریز,2735,889,  روزانه, دانشگاه علوم پزشکی ارومیه  ,پزشکی 
مرد,1,مشهد,2743,891,  روزانه, دانشگاه علوم پزشکی سمنان  ,دندانپزشکی 
زن,1,تهران,2757,897,  روزانه, دانشگاه علوم پزشکی یزد ,دندانپزشکی 
زن,1,شیراز,2763,899,  روزانه, دانشگاه علوم پزشکی کرمان  ,دندانپزشکی 
زن,1,قم,2763,899, روزانه, دانشگاه علوم پزشکی قم  ,پزشکی 
مرد,1,تبریز,2763,899,  روزانه, دانشگاه علوم پزشکی ارومیه  ,پزشکی 
زن,1,تهران,2768,903, روزانه, دانشگاه علوم پزشکی شهید بهشتی  ,داروسازی 
زن,1,مشهد,2768,903, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,تهران,2792,906,  دانشگاه آزاد, دانشگاه آزاد اسلامی واحد تهران پزشکی ,دندانپزشکی 
مرد,1,تهران,2798,908, رشت  -  روزانه, دانشگاه علوم پزشکی گیلان ,پزشکی 
زن,1,نیشابور,2804,909, روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,مشهد,2804,909,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,مشهد,2813,912, بجنورد  -  روزانه, دانشگاه علوم پزشکی خراسان شمالی ,دندانپزشکی 
زن,1,تبریز,2859,921, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی تبریز ,پزشکی 
زن,1,زنجان,2859,921, روزانه, دانشگاه علوم پزشکی زنجان  ,دندانپزشکی 
مرد,1,مشهد,2870,924, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,شیراز,2883,927, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شیراز  ,پزشکی 
مرد,1,مشهد,2904,933, ساری  -  روزانه, دانشگاه علوم پزشکی مازندران ,پزشکی 
مرد,1,مشهد,2921,936, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,مشهد,2927,937, بجنورد  -  روزانه, دانشگاه علوم پزشکی خراسان شمالی ,دندانپزشکی 
زن,1,شیراز,2934,941,  روزانه, دانشگاه علوم پزشکی بوشهر  ,دندانپزشکی 
مرد,1,مشهد,2934,941, بجنورد  -  روزانه, دانشگاه علوم پزشکی خراسان شمالی ,پزشکی 
مرد,1,مشهد,2941,944,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,خمینی شهر,2949,947,تهران  -  روزانه, دانشگاه شاهد,پزشکی 
زن,1,تهران,2953,948, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی بابل  ,دندانپزشکی 
زن,1,مشهد,2958,951, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,اصفهان,2996,964, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
زن,1,تهران,3009,967, رشت  -  روزانه, دانشگاه علوم پزشکی گیلان ,پزشکی 
زن,1,رشت,3009,967, رشت  - روزانه, دانشگاه علوم پزشکی گیلان ,پزشکی 
مرد,1,کلاردشت /حسن کیف,3015,969,تهران  -  روزانه, دانشگاه شاهد,پزشکی 
زن,1,تهران,3021,972, پردیس خودگردان یا ظرفیت مازاد, دانشگاه آزاد اسلامی واحد تهران پزشکی ,دندانپزشکی 
زن,1,تبریز,3028,976, ساری  -  روزانه, دانشگاه علوم پزشکی مازندران ,پزشکی 
مرد,1,مشهد,3037,979, ساری  -  روزانه, دانشگاه علوم پزشکی مازندران ,پزشکی 
